Temperature (K)	Pressure (bar)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
117.20	10.356	29.698	0.033673	-3.3123	-3.2774	68.562	18.445	51.643	608.91	-0.0092838	117.93	0.086786	0.0056455	1.2842	0.77873	1.1413	1.9478	113.14	15.225	32.385	184.73	1.8550	10.188	0.0086990
117.30	10.416	29.677	0.033696	-3.3073	-3.2722	68.604	18.439	51.695	608.04	-0.0090908	117.65	0.086655	0.0056244	1.2916	0.77426	1.1410	1.9474	113.10	15.236	32.452	184.74	1.8518	10.200	0.0087143
117.40	10.476	29.656	0.033719	-3.3023	-3.2670	68.647	18.433	51.747	607.17	-0.0088967	117.37	0.086523	0.0056034	1.2990	0.76982	1.1406	1.9470	113.06	15.247	32.521	184.76	1.8486	10.213	0.0087297
117.50	10.536	29.636	0.033743	-3.2973	-3.2618	68.690	18.426	51.799	606.30	-0.0087017	117.08	0.086392	0.0055823	1.3065	0.76541	1.1402	1.9467	113.02	15.259	32.589	184.77	1.8454	10.225	0.0087452
117.60	10.597	29.615	0.033767	-3.2924	-3.2566	68.732	18.420	51.852	605.42	-0.0085055	116.80	0.086261	0.0055613	1.3140	0.76103	1.1398	1.9463	112.97	15.270	32.658	184.79	1.8422	10.237	0.0087607
117.70	10.658	29.594	0.033790	-3.2874	-3.2514	68.775	18.414	51.905	604.55	-0.0083084	116.52	0.086129	0.0055403	1.3216	0.75668	1.1394	1.9459	112.93	15.281	32.728	184.80	1.8390	10.249	0.0087763
117.80	10.719	29.574	0.033814	-3.2824	-3.2461	68.817	18.408	51.959	603.68	-0.0081102	116.24	0.085998	0.0055193	1.3292	0.75235	1.1390	1.9455	112.89	15.293	32.798	184.82	1.8358	10.262	0.0087920
117.90	10.781	29.553	0.033838	-3.2774	-3.2409	68.860	18.402	52.012	602.80	-0.0079109	115.96	0.085867	0.0054984	1.3368	0.74806	1.1386	1.9450	112.85	15.304	32.868	184.83	1.8326	10.274	0.0088077
118.00	10.842	29.532	0.033862	-3.2724	-3.2357	68.902	18.396	52.066	601.93	-0.0077106	115.68	0.085736	0.0054774	1.3445	0.74380	1.1382	1.9446	112.80	15.316	32.939	184.85	1.8294	10.286	0.0088235
118.10	10.904	29.511	0.033886	-3.2674	-3.2305	68.945	18.390	52.121	601.05	-0.0075091	115.41	0.085605	0.0054565	1.3521	0.73956	1.1377	1.9442	112.76	15.327	33.010	184.86	1.8262	10.299	0.0088394
