Run_ID,File_Location,Clone_Run_ID,Clone_Frame_ID,N_Cells,Therm_kT,Therm_Seed,Density_Start,Density_End,BoxLength_Start,BoxLength_End,dt,Nsteps,This_LJ_Time,Cumulative_LJ_Time,Ensemble,T_Set,P_Set,LJ_r_cut,LJ_r_on,LJ_Mode,Phase_Separation_Status,Phase_Separation_Method,Phase_Separation_Method_Version,rho_liquid,rho_liquid_unc,rho_gas,rho_gas_unc,V_liquid,V_liquid_unc,V_gas,V_gas_unc,Phase_Fit_Status,Phase_Fit_Method,Phase_Fit_Method_Version,Summary_Start_Step,Summary_End_Step,Summary_Num_Samples,Pressure_Mean,Pressure_Std,Pressure_SEM,PE_Per_Particle_Mean,PE_Per_Particle_Std,PE_Per_Particle_SEM,Num_Frames
20260915181029,Thermalization/20260915181029,,,40,0.92,1,0.5600000000000004,0.5600000000000004,77.03427142216714,77.03427142216714,0.002,100000,200,200,NVT,0.92,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6733524196670959,0.00037097149863553976,0.029580668521689345,0.0004999233539352795,375429.75892560865,1190.0943372975132,81713.09497832887,1190.0943372975134,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.043000659167304854,0.045014895314331095,0.004501489531433109,-4.048052009356063,0.1507891540776714,0.015078915407767141,6
20260915181228,Thermalization/20260915181228,,,40,0.92,1,0.5800000000000003,0.5800000000000003,76.13844285242617,76.13844285242617,0.002,100000,200,200,NVT,0.92,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6720650597721828,0.0003673206877025812,0.02877320188904388,0.0006135180890128285,377123.1461919219,1048.9604344407176,64256.16660050467,1048.9604344407173,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.05192522095203839,0.049148009495174276,0.004914800949517428,-4.06415067260779,0.13522098395737414,0.013522098395737415,6
20260915181257,Thermalization/20260915181257,,,40,0.92,1,0.6000000000000004,0.6000000000000003,75.28288231048226,75.28288231048226,0.002,100000,200,200,NVT,0.92,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6763056546470578,0.00033857250764899623,0.02934555559636524,0.0005660950496142329,375998.224432196,965.2490253666563,50668.44869454051,965.249025366657,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.05163123422575393,0.05855005365517965,0.005855005365517965,-4.117940104140401,0.13876818689047965,0.013876818689047965,6
20260915181427,Thermalization/20260915181427,,,40,0.94,1,0.5000000000000003,0.5000000000000002,79.99999999999999,79.99999999999999,0.002,100000,200,200,NVT,0.94,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6577182046018654,0.00043651073042508747,0.03655631487720556,0.0004498417330261635,380845.3144081268,1497.9634212620556,131154.6855918732,1497.9634212620558,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.021407686396717904,0.032652616381729914,0.0032652616381729912,-3.8485964880382757,0.18018571020622098,0.0180185710206221,6
20260915181623,Thermalization/20260915181623,,,40,0.94,1,0.5200000000000005,0.5200000000000005,78.96092134994282,78.96092134994282,0.002,100000,200,200,NVT,0.94,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6588279735730282,0.00042021108114546213,0.035316623488960176,0.0005041787254818943,380847.9221830345,1375.7288229226588,111459.78679536532,1375.728822922658,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.024828999096614145,0.03639231368880956,0.003639231368880956,-3.8809369298781182,0.16594578585859276,0.016594578585859276,6
20260915181820,Thermalization/20260915181820,,,40,0.94,1,0.5400000000000005,0.5400000000000005,77.97380635234308,77.97380635234308,0.002,100000,200,200,NVT,0.94,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6606780889502907,0.00038636264548037934,0.037577126955329845,0.0005446591269771592,380720.53393200267,1277.7493410995387,93353.57545843121,1277.749341099539,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.027745790211789002,0.04101837730535308,0.004101837730535308,-3.926597452494799,0.15864703129376598,0.015864703129376597,6
20260915181914,Thermalization/20260915181914,,,40,0.94,1,0.5600000000000004,0.5600000000000004,77.03427142216714,77.03427142216714,0.002,100000,200,200,NVT,0.94,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6595536743043748,0.00037627331651867254,0.03626595198133893,0.0005908894277799864,382581.68055240763,1147.426027865759,74561.17335152988,1147.4260278657591,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.034878962323651105,0.042907527547689964,0.0042907527547689965,-3.9578698271303603,0.14026970880322776,0.014026970880322776,6
20260915182018,Thermalization/20260915182018,,,40,0.94,1,0.5800000000000003,0.5800000000000003,76.13844285242617,76.13844285242617,0.002,100000,200,200,NVT,0.94,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6546377890562994,0.0003803615490294986,0.03382089928991547,0.0008807112248010573,386275.24203136645,970.3240864326181,55104.07076106009,970.324086432618,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.04688457191191234,0.04063598027797906,0.004063598027797906,-3.9660632509736704,0.11185314690024155,0.011185314690024154,6
20260915182214,Thermalization/20260915182214,,,40,0.94,1,0.6000000000000004,0.6000000000000003,75.28288231048226,75.28288231048226,0.002,100000,200,200,NVT,0.94,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6551639153011765,0.0003618992782735115,0.0363339525734359,0.0010424184974134132,387411.82566554594,833.1185073472592,39254.8474611906,833.1185073472597,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.061030280184853875,0.04503307326480775,0.004503307326480775,-3.984778729782255,0.10337367385597133,0.010337367385597134,6
20260915182412,Thermalization/20260915182412,,,40,0.96,1,0.5000000000000003,0.5000000000000002,79.99999999999999,79.99999999999999,0.002,100000,200,200,NVT,0.96,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6417721660183058,0.00045242945236497275,0.04252695139355796,0.0005538486252560106,388983.0273236904,1457.3275271262426,123016.9726763096,1457.3275271262426,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.014608823447756691,0.029162971042447753,0.002916297104244775,-3.742404878109484,0.16691536983186772,0.01669153698318677,6
