temperature_K,temperature_C,pressure_fraction_of_Pvap,pressure_bar,pressure_psia,Pvap_bar_direct,Q_keV,Rc_nm,Pvap_psia,Pbub_psia,Rho_l_g_cc,Rho_b_g_cc,Sigma_N_m,P_err_psia,G_err_J_kg,iterations,errID,valid
135.0,-138.14999999999998,0.25,6.377180339596935,92.49318112732112,25.50872135838774,0.022436389789083633,2.616937681189187,369.9727238209948,335.01426110885427,0.9560370130819771,0.1145419752452517,0.002187922131918122,7.914663241363528e-13,0.00017114510122836577,41.0,,True
135.0,-138.14999999999998,0.4,10.203488543355096,147.9890898037138,25.50872135838774,0.03666504679623543,3.2760813942415035,369.9727238209948,341.7152144970569,0.9708048424996008,0.1182186772490157,0.002187922131918122,-1.9127102833295193e-12,8.960193907664858e-05,30.0,,True
135.0,-138.14999999999998,0.55,14.029796747113258,203.48499848010647,25.50872135838774,0.07102563152347818,4.375360422957294,369.9727238209948,348.5387749316026,0.9830344455387227,0.12210087334819197,0.002187922131918122,-5.276442160909019e-13,3.256067529348133e-05,23.0,,True
135.0,-138.14999999999998,0.7,17.856104950871416,258.9809071564991,25.50872135838774,0.18968418317696906,6.574926787513123,369.9727238209948,355.5086059731156,0.9936025586485205,0.12622634682915687,0.002187922131918122,1.352088303732936e-12,1.296587740659081e-05,17.0,,True
135.0,-138.14999999999998,0.85,21.68241315462958,314.4768158328918,25.50872135838774,1.1455605861427438,13.175669873333634,369.9727238209948,362.6460974548358,1.0029830922968965,0.1306393817728891,0.002187922131918122,1.1212439591931664e-12,5.7815340579509485e-06,11.0,,True
140.0,-133.14999999999998,0.1,3.168227119785178,45.95124949238973,31.68227119785178,,,459.5124940690296,,,,,,,,202.2,False
140.0,-133.14999999999998,0.25,7.920567799462945,114.87812373097431,31.68227119785178,,,459.5124940690296,,,,,,,,202.2,False
140.0,-133.14999999999998,0.4,12.672908479140713,183.8049979695589,31.68227119785178,,,459.5124940690296,,,,,,,,202.2,False
140.0,-133.14999999999998,0.55,17.42524915881848,252.7318722081435,31.68227119785178,,,459.5124940690296,,,,,,,,-704.8,False
140.0,-133.14999999999998,0.7,22.177589838496246,321.65874644672806,31.68227119785178,0.042555795211728094,3.4845484179071535,459.5124940690296,434.389201939539,0.899367977830711,0.15895319504517205,0.0013541811134292917,-1.7148437022954312e-12,1.1927476151262302e-05,20.0,,True
140.0,-133.14999999999998,0.85,26.92993051817401,390.5856206853126,31.68227119785178,0.23205732385707928,6.996620459384259,459.5124940690296,446.7291163369257,0.9249748156403639,0.16817566627904573,0.0013541811134292917,2.704176607465872e-12,7.2311066939247725e-06,13.0,,True
