Temperature (K)	Pressure (bar)	Density (l, g/ml)	Volume (l, ml/g)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, g/ml)	Volume (v, ml/g)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
110.00	6.6526	1.2428	0.80465	-91.664	-91.129	1.6390	0.47468	1.2176	669.20	-0.020875	140.45	0.096409	0.0072016	0.033287	30.042	28.855	48.840	2.9114	0.36331	0.71223	183.03	2.1034	9.3663	0.0077318
110.10	6.6962	1.2420	0.80514	-91.545	-91.006	1.6400	0.47448	1.2184	668.39	-0.020740	140.10	0.096273	0.0071794	0.033497	29.853	28.856	48.846	2.9103	0.36353	0.71333	183.06	2.0997	9.3771	0.0077437
110.20	6.7401	1.2413	0.80562	-91.426	-90.883	1.6411	0.47428	1.2192	667.58	-0.020605	139.76	0.096138	0.0071573	0.033708	29.667	28.856	48.852	2.9091	0.36375	0.71444	183.09	2.0960	9.3879	0.0077557
110.30	6.7841	1.2405	0.80611	-91.307	-90.760	1.6422	0.47408	1.2201	666.77	-0.020470	139.42	0.096002	0.0071352	0.033920	29.481	28.857	48.857	2.9080	0.36397	0.71556	183.12	2.0923	9.3987	0.0077676
110.40	6.8284	1.2398	0.80660	-91.188	-90.637	1.6433	0.47388	1.2210	665.96	-0.020334	139.07	0.095867	0.0071132	0.034133	29.297	28.858	48.863	2.9069	0.36419	0.71668	183.15	2.0886	9.4096	0.0077796
110.50	6.8728	1.2390	0.80709	-91.068	-90.514	1.6444	0.47368	1.2218	665.15	-0.020197	138.73	0.095731	0.0070911	0.034347	29.115	28.858	48.868	2.9058	0.36441	0.71781	183.19	2.0849	9.4204	0.0077916
110.60	6.9175	1.2383	0.80758	-90.949	-90.390	1.6455	0.47348	1.2227	664.33	-0.020059	138.39	0.095596	0.0070691	0.034562	28.934	28.858	48.873	2.9046	0.36464	0.71895	183.21	2.0813	9.4313	0.0078037
110.70	6.9623	1.2375	0.80807	-90.830	-90.267	1.6465	0.47328	1.2236	663.52	-0.019921	138.05	0.095460	0.0070470	0.034778	28.754	28.858	48.878	2.9035	0.36486	0.72009	183.24	2.0776	9.4422	0.0078158
110.80	7.0074	1.2368	0.80857	-90.710	-90.143	1.6476	0.47309	1.2244	662.71	-0.019782	137.72	0.095325	0.0070250	0.034995	28.576	28.858	48.882	2.9024	0.36508	0.72124	183.27	2.0739	9.4531	0.0078280
110.90	7.0527	1.2360	0.80906	-90.591	-90.020	1.6487	0.47289	1.2253	661.89	-0.019643	137.38	0.095190	0.0070030	0.035213	28.399	28.858	48.887	2.9012	0.36531	0.72239	183.30	2.0703	9.4640	0.0078402
111.00	7.0982	1.2352	0.80956	-90.471	-89.896	1.6498	0.47269	1.2262	661.08	-0.019503	137.04	0.095055	0.0069810	0.035432	28.223	28.858	48.891	2.9001	0.36554	0.72355	183.33	2.0667	9.4749	0.0078524
111.10	7.1439	1.2345	0.81005	-90.351	-89.772	1.6509	0.47250	1.2271	660.26	-0.019362	136.71	0.094920	0.0069590	0.035653	28.048	28.858	48.895	2.8990	0.36576	0.72472	183.36	2.0630	9.4858	0.0078647
111.20	7.1899	1.2337	0.81055	-90.231	-89.649	1.6520	0.47230	1.2280	659.44	-0.019220	136.37	0.094785	0.0069370	0.035874	27.875	28.857	48.899	2.8979	0.36599	0.72589	183.39	2.0594	9.4968	0.0078770
111.30	7.2360	1.2330	0.81105	-90.112	-89.525	1.6530	0.47211	1.2289	658.62	-0.019078	136.04	0.094650	0.0069151	0.036097	27.703	28.856	48.903	2.8968	0.36622	0.72707	183.42	2.0558	9.5078	0.0078893
111.40	7.2824	1.2322	0.81155	-89.992	-89.401	1.6541	0.47191	1.2298	657.80	-0.018935	135.71	0.094515	0.0068932	0.036320	27.533	28.856	48.906	2.8956	0.36645	0.72826	183.45	2.0522	9.5188	0.0079017
111.50	7.3289	1.2314	0.81205	-89.872	-89.277	1.6552	0.47172	1.2307	656.98	-0.018791	135.38	0.094380	0.0068712	0.036545	27.364	28.855	48.909	2.8945	0.36668	0.72946	183.48	2.0486	9.5298	0.0079141
111.60	7.3757	1.2307	0.81255	-89.752	-89.152	1.6563	0.47153	1.2316	656.16	-0.018647	135.05	0.094245	0.0068493	0.036770	27.196	28.854	48.913	2.8934	0.36691	0.73066	183.50	2.0450	9.5408	0.0079266
